root,target,path,cost
10,67,67 <- 31 <- 11 <- 10,15
10,68,68 <- 55 <- 50 <- 33 <- 16 <- 10,28
10,69,69 <- 37 <- 33 <- 16 <- 10,21
10,70,70 <- 33 <- 16 <- 10,26
10,71,71 <- 46 <- 39 <- 10,21
10,72,72 <- 33 <- 16 <- 10,28
10,73,73 <- 66 <- 34 <- 11 <- 10,21
10,74,74 <- 61 <- 19 <- 11 <- 10,15
10,75,75 <- 45 <- 29 <- 16 <- 10,36
10,76,76 <- 61 <- 19 <- 11 <- 10,19
10,77,77 <- 71 <- 46 <- 39 <- 10,29
10,78,78 <- 29 <- 16 <- 10,20
10,79,79 <- 31 <- 11 <- 10,11
10,80,80 <- 50 <- 33 <- 16 <- 10,24
10,81,81 <- 39 <- 10,19
10,82,82 <- 61 <- 19 <- 11 <- 10,21
10,83,83 <- 44 <- 31 <- 11 <- 10,20
10,84,84 <- 48 <- 42 <- 16 <- 10,24
10,85,85 <- 61 <- 19 <- 11 <- 10,16
10,86,86 <- 76 <- 61 <- 19 <- 11 <- 10,21
10,87,87 <- 50 <- 33 <- 16 <- 10,35
10,88,88 <- 46 <- 39 <- 10,26
10,89,89 <- 39 <- 10,13
10,90,90 <- 47 <- 16 <- 10,15
10,91,91 <- 78 <- 29 <- 16 <- 10,27
10,92,92 <- 47 <- 16 <- 10,17
10,93,93 <- 43 <- 33 <- 16 <- 10,25
10,94,94 <- 70 <- 33 <- 16 <- 10,33
10,95,95 <- 66 <- 34 <- 11 <- 10,31
10,96,96 <- 92 <- 47 <- 16 <- 10,26
10,97,97 <- 76 <- 61 <- 19 <- 11 <- 10,22
10,98,null,null
10,99,99 <- 83 <- 44 <- 31 <- 11 <- 10,34
10,100,100 <- 63 <- 29 <- 16 <- 10,25
11,12,null,null
11,13,null,null
11,14,null,null
11,15,null,null
11,16,null,null
11,17,null,null
11,18,null,null
11,19,19 <- 11,6
11,20,null,null
11,21,null,null
11,22,null,null
11,23,null,null
11,24,null,null
11,25,null,null
11,26,null,null
11,27,null,null
11,28,null,null
11,29,null,null
11,30,null,null
11,31,31 <- 11,6
11,32,null,null
11,33,null,null
11,34,34 <- 11,7
11,35,null,null
11,36,36 <- 31 <- 11,17
11,37,null,null
11,38,null,null
11,39,null,null
11,40,null,null
11,41,null,null
11,42,null,null
11,43,null,null
11,44,44 <- 31 <- 11,12
11,45,null,null
11,46,null,null
11,47,null,null
11,48,null,null
11,49,null,null
11,50,null,null
11,51,null,null
11,52,null,null
11,53,null,null
11,54,null,null
11,55,55 <- 44 <- 31 <- 11,25
11,56,null,null
11,57,null,null
11,58,null,null
11,59,59 <- 44 <- 31 <- 11,16
11,60,null,null
11,61,61 <- 19 <- 11,8
11,62,null,null
11,63,null,null
11,64,null,null
11,65,null,null
11,66,66 <- 34 <- 11,13
11,67,67 <- 31 <- 11,12
11,68,68 <- 55 <- 44 <- 31 <- 11,30
11,69,null,null
11,70,null,null
11,71,null,null
11,72,null,null
11,73,73 <- 66 <- 34 <- 11,18
11,74,74 <- 61 <- 19 <- 11,12
11,75,null,null
11,76,76 <- 61 <- 19 <- 11,16
11,77,null,null
11,78,null,null
11,79,79 <- 31 <- 11,8
11,80,null,null
11,81,81 <- 67 <- 31 <- 11,25
11,82,82 <- 61 <- 19 <- 11,18
11,83,83 <- 44 <- 31 <- 11,17
11,84,84 <- 36 <- 31 <- 11,29
11,85,85 <- 61 <- 19 <- 11,13
11,86,86 <- 76 <- 61 <- 19 <- 11,18
11,87,null,null
11,88,null,null
11,89,null,null
11,90,null,null
11,91,null,null
11,92,92 <- 85 <- 61 <- 19 <- 11,15
11,93,null,null
11,94,null,null
11,95,95 <- 66 <- 34 <- 11,28
11,96,96 <- 92 <- 85 <- 61 <- 19 <- 11,24
11,97,97 <- 76 <- 61 <- 19 <- 11,19
11,98,null,null
11,99,99 <- 83 <- 44 <- 31 <- 11,31
11,100,null,null
12,13,null,null
12,14,null,null
12,15,null,null
12,16,null,null
12,17,null,null
12,18,null,null
12,19,null,null
12,20,20 <- 12,5
12,21,null,null
12,22,null,null
12,23,null,null
12,24,24 <- 12,8
12,25,null,null
12,26,null,null
12,27,null,null
12,28,null,null
12,29,null,null
12,30,null,null
12,31,null,null
12,32,null,null
12,33,null,null
12,34,null,null
12,35,null,null
12,36,null,null
12,37,null,null
12,38,null,null
12,39,null,null
12,40,null,null
12,41,null,null
12,42,42 <- 12,11
12,43,null,null
12,44,null,null
12,45,null,null
12,46,null,null
12,47,null,null
12,48,48 <- 42 <- 12,16
12,49,null,null
12,50,null,null
12,51,null,null
12,52,null,null
12,53,null,null
12,54,null,null
12,55,null,null
12,56,null,null
12,57,null,null
12,58,58 <- 24 <- 12,17
12,59,null,null
12,60,60 <- 42 <- 12,14
12,61,null,null
12,62,62 <- 58 <- 24 <- 12,25
12,63,null,null
12,64,null,null
12,65,null,null
12,66,66 <- 24 <- 12,23
12,67,67 <- 42 <- 12,16
12,68,null,null
12,69,null,null
12,70,null,null
12,71,null,null
12,72,null,null
12,73,73 <- 66 <- 24 <- 12,28
12,74,null,null
12,75,75 <- 58 <- 24 <- 12,32
12,76,76 <- 66 <- 24 <- 12,27
12,77,null,null
12,78,null,null
12,79,79 <- 66 <- 24 <- 12,33
12,80,null,null
12,81,81 <- 67 <- 42 <- 12,29
12,82,null,null
12,83,83 <- 79 <- 66 <- 24 <- 12,48
12,84,84 <- 48 <- 42 <- 12,18
12,85,null,null
12,86,86 <- 76 <- 66 <- 24 <- 12,29
12,87,null,null
12,88,null,null
12,89,null,null
12,90,null,null
12,91,null,null
12,92,null,null
12,93,null,null
12,94,null,null
12,95,95 <- 66 <- 24 <- 12,38
12,96,null,null
